Disease	Drug
Melanoma 	autologous anti-gp100 t-cell receptor gene-engineered peripheral blood lymphocytes
Alzheimer disease 	cad-106
Melanoma 	telomelysin
Merkel cell carcinoma 	telomelysin
Breast cancer 	ro-4929097
Obesity 	ciproxifan
Dementia 	ciproxifan
Psoriasis vulgaris 	verteporfin
Bacterial infection 	tefibazumab
Atrial fibrillation 	capadenoson
Osteoarthritis pain 	pmid25666693-compound-159
Cancer related pain 	pmid25666693-compound-159
Inflammatory pain 	pmid25666693-compound-159
Neuropathic pain 	pmid25666693-compound-159
Acute myeloid leukaemia 	xmab14045
Erectile dysfunction 	alprostadil
Diabetic foot ulcer 	alprostadil
Neuropathic pain 	nsl-105
Transplant rejection 	odulimomab
B-cell lymphoma 	4scar19 and 4scar38
Type-2 diabetes 	pe0139
Fibrosis 	sm-16
Chronic myeloid leukaemia 	abio-05/01
Diabetic complication 	rhiip
Rheumatoid arthritis 	dwj-425
Contraception 	protectaid
Solid tumour/cancer 	mct-485
Crohn disease 	apd371
Solid tumour/cancer 	drug 2849330
Allergy 	tj-127
Colorectal cancer 	gdc-0068
Gastric adenocarcinoma 	gdc-0068
Breast cancer 	gdc-0068
Solid tumour/cancer 	gdc-0068
Non-insulin dependent diabetes 	gsk-1108167a
Fibrosis 	drp-049
Diabetic macular edema 	ncx-434
Ophthalmic infection 	alt 005
Solid tumour/cancer 	sephb4-hsa
Solid tumour/cancer 	bioo-5
Small-cell lung cancer 	gsk2879552
Sarcoidosis 	collagenase clostridium histolyticum
Solid tumour/cancer 	nv-196
Type-2 diabetes 	vrs-859
Parkinson disease 	nni-pd
Acute myeloid leukaemia 	amg 176
Multiple myeloma 	amg 176
Chronic obstructive pulmonary disease 	meprednisone
Cerebrovascular ischaemia 	placental growth factor
Melanoma 	rg7421+rg7204
Solid tumour/cancer 	rhamm-r3 peptide vaccine
Obesity 	dry-powder peptide yy(3-36)
Lymphatic disease 	car.cd30 cells
Immune System disease 	car.cd30 cells
Immunoproliferative disorder 	car.cd30 cells
Lymphoma 	car.cd30 cells
Neoplasm 	car.cd30 cells
Obesity 	npy5ra-972
Thrombosis 	apixaban
Anaesthesia 	articaine
Diabetic complication 	ly-518674
Chronic obstructive pulmonary disease 	mbs-103
Gout 	lc-350189
Solid tumour/cancer 	dibenzo [c,f]-[2,7]naphthyridine derivative 1
Metastatic cancer 	dibenzo [c,f]-[2,7]naphthyridine derivative 1
Melanoma 	thymalfasin
Hepatitis virus infection 	thymalfasin
Liver cancer 	thymalfasin
Non-insulin dependent diabetes 	cnx-010
Anthrax 	valtorim
Solid tumour/cancer 	tetrahydrouridine
Solid tumour/cancer 	dual pi3k/mtor inhibitors
Human immunodeficiency virus infection 	vir-201
Arthritis 	etanercept
Pemphigus vulgaris 	etanercept
Sciatica 	etanercept
Human papillomavirus infection 	v-503
Obesity 	azetidine derivative 1
Vitamin B12 deficiency 	cyanocobalamin co-57
Dyskinesia 	adx-48621
Mood disorder 	adx-48621
Parkinson disease 	adx-48621
Solid tumour/cancer 	epi-2221
Human immunodeficiency virus-1 infection 	ub-421
Inflammation 	cf502
Female infertility 	clomiphene citrate
Systemic lupus erythematosus 	blisibimod
Aplastic anemia 	lymphocyte immune globulin, anti-thymocyte globulin
Chronic obstructive pulmonary disease 	pf-3635659
Type-2 diabetes 	remogli ozin-etabonate
Dementia 	as-1522489-00
Pain 	bdd-10103
Breast cancer 	p10s-padre/montanide isa 51 vaccine
Hypotension 	hemoglobin crosfumaril
Bone induction 	rh-bmp-2/acs
Multiple sclerosis 	noggin
Artery stenosis 	inc-106
Rheumatoid arthritis 	tenoxicam
Bacterial infection 	candicidin
Psoriatic arthritis 	neihulizumab
Bone metastases 	sodium phosphate p 32
Schizophrenia 	organon-3
Dengue fever 	hydrovax
Poliovirus infection 	monovalent oral polio vaccine 1
Autoimmune diabetes 	triptolide
Parkinson disease 	inp103
Bacterial infection 	bl-6030
Type-1 diabetes 	nn1406
Type-2 diabetes 	nn1406
Colorectal cancer 	colorectal cancer vaccine
Solid tumour/cancer 	anti-pd-l1 mab
Chronic lymphocytic leukaemia 	rg7601
Hematologic disease 	biosuperior protein therapeutic
Influenza 	vaxigrip qiv im
Influenza virus infection 	vaxigrip qiv im
Solid tumour/cancer 	k-454
Hepatitis 	benzyl phenyl ether derivative 2
Human immunodeficiency virus infection 	benzyl phenyl ether derivative 2
Infectious disease 	benzyl phenyl ether derivative 2
Solid tumour/cancer 	benzyl phenyl ether derivative 2
Acute myeloid leukaemia 	grnvac1
Rheumatoid arthritis 	sti-002
Solid tumour/cancer 	bo-0742
Multiple myeloma 	abgn-150
Non-hodgkin lymphoma 	enzastaurin
Central nervous system disease 	enzastaurin
Diffuse large B-cell lymphoma 	enzastaurin
Glioblastoma multiforme 	enzastaurin
Epilepsy 	amp-x-0001
Malaria 	ferroquine
Alzheimer disease 	azd-5213
Hypertension 	cyt-006-angqb
Pain 	gsk1482160
Thrombosis 	sb-208651
Anxiety disorder 	org-34116
Schizophrenia 	pf-4859989
Parkinson disease 	nuropro
Solid tumour/cancer 	rbt-401
Refractory sickle cell ulcers 	sodium butyrate
Acute myeloid leukaemia 	sodium butyrate
Solid tumour/cancer 	sim-0702
Herpes simplex virus infection 	ag-707
Lymphangioleiomyomatosis 	daskloster 0080-01
Alcohol dependence 	puerarin
Myocardial infarction 	lb-30870
Metastatic renal cancer 	lor-2040
Prostate cancer 	lor-2040
Acute myeloid leukaemia 	lor-2040
Breast cancer 	lor-2040
Metastatic colorectal cancer 	lor-2040
Non-insulin dependent diabetes 	fructose-1,6-bisphosphatase inhibitors
Hypertension 	micardis telmisartan
Acute myeloid leukaemia 	lirilumab
Chronic lymphocytic leukaemia 	lirilumab
Solid tumour/cancer 	lirilumab
Myelodysplastic syndrome 	lirilumab
Diabetic complication 	diabetes therapy, reyon
Thrombosis 	warfarin breakable tablets
Hypertension 	quinapril
Arthritis 	3-deazaadenosine
Alzheimer disease 	mer-5101
Hepatitis 	peptide analog 6
Human immunodeficiency virus infection 	peptide analog 6
Infectious disease 	peptide analog 6
Solid tumour/cancer 	peptide analog 6
Inflammatory bowel disease 	eg-10
Epilepsy 	neuroprotective thioderivatives
Asthma 	ag-nca805
Ependymoma 	egfr806-specific car t cell
Atypical teratoid/rhabdoid tumour 	egfr806-specific car t cell
Gastric adenocarcinoma 	egfr806-specific car t cell
Germ cell tumour 	egfr806-specific car t cell
Glioma 	egfr806-specific car t cell
Medulloblastoma 	egfr806-specific car t cell
Pineoblastoma 	egfr806-specific car t cell
Choroid plexus carcinoma 	egfr806-specific car t cell
Obesity 	s-100
Breast cancer 	vx-001
Bacterial infection 	isoxyl
Asthma 	ipl-512602
Hyperthermia 	dantrolene
Solid tumour/cancer 	onx-0801
Solid tumour/cancer 	amg 820
Heart block 	isoproterenol
Melanoma 	isoproterenol
Respiratory tract infection 	abi-0043
Alzheimer disease 	biib092
Progressive supranuclear palsy 	biib092
Gram-positive bacterial infection 	sun13834
Solid tumour/cancer 	ink4a
Nasal polyp 	lormetazepam
Glioma 	blz-100
Malignant primary brain tumour 	blz-100
Migraine 	xgp-310
Schizophrenia 	zuclopenthixol
Renal cell carcinoma 	girentuximab
Head and neck cancer 	gene therapy, ifn-alpha, pinc
Pain 	pctx1
B-cell lymphoma 	xlcart001
Solid tumour/cancer 	mn-7105
Autoimmune diabetes 	anti-gm-csf human mabs
Psoriasis vulgaris 	pu-2049
Lung cancer 	ranpirnase
Parkinson disease 	bn82451
Solid tumour/cancer 	p31-protein
Pancreatic cancer 	streptozocin
Anxiety disorder 	sdz-icm-567
Solid tumour/cancer 	bo-110
Autoimmune diabetes 	wsb-290
Vomiting 	dlx-0201
Type-1 diabetes 	ibc-vs01
Alzheimer disease 	alzheimer's disease therapy, cornell university
Allergy 	vaccine, nanoparticle formulation, autoimmune disease/allergy/type i diabetes/transplant rejection
Hepatitis B virus infection 	hepatitis b vaccine
Colorectal cancer 	ro5520985
Autoimmune diabetes 	ruthenium complexes
Diarrhea 	cr-3294
Alopecia 	sm04554
Solid tumour/cancer 	bms-185857
Arthritis 	xgp-125
Chronic pain 	bicyclic heteroaryl benzamide derivative 4
Neuropathic pain 	bicyclic heteroaryl benzamide derivative 4
Thymic cancer 	bicyclic heteroaryl benzamide derivative 4
Pruritus 	bicyclic heteroaryl benzamide derivative 4
Solid tumour/cancer 	bicyclic heteroaryl benzamide derivative 4
Solid tumour/cancer 	abgn-100
Gastric adenocarcinoma 	plevitrexed
Vascular purpura 	hesperidin
Solid tumour/cancer 	amsilarotene
Cognitive impairment 	avn-492
Ovarian cancer 	otl38
Solid tumour/cancer 	anticancer etherlipid prodrugs
Bacterial infection 	rwj-416457
Cerebrovascular ischaemia 	mdl-101002
Irritable bowel syndrome 	sr-58878
Chronic obstructive pulmonary disease 	som-0525
Hyperlipidaemia 	dw-816
Mood disorder 	moxifetin hydrogen maleate
Solid tumour/cancer 	hbx-41108
Acute lymphoblastic leukaemia 	epratuzumab
Graft rejection in heart transplantation 	epratuzumab
Systemic lupus erythematosus 	epratuzumab
Alzheimer disease 	pmid28350212-compound-20
Asthma 	cnto-3157
Motor neurone disease 	celastrol
Rheumatoid arthritis 	azd-6942
Merkel cell carcinoma 	imcnyeso
Melanoma 	imcnyeso
Virus infection 	sb-104
Prostate cancer 	recombinant soluble psma protein vaccine
Acute repetitive seizure 	nrl-1
Epilepsy 	nrl-1
Non-syndromic ichthyosis 	pat-001
Autosomal recessive congenital ichthyosis 	pat-001
Melanoma 	gsk-2241658a
Staphylococcus infection 	mf-5137
Solid tumour/cancer 	bms-986156
Major depressive disorder 	btrx-246040
Ephelides 	thiazolidine derivative 3
Melasma 	thiazolidine derivative 3
Menkes disease 	thiazolidine derivative 3
Albinism 	thiazolidine derivative 3
Senile lentigines 	thiazolidine derivative 3
Crohn disease 	pmid26651364-compound-117a
Urinary tract infection 	pmid26651364-compound-117a
Ulcerative colitis 	pmid26651364-compound-117a
Hepatocellular carcinoma 	anti-mir-191 modified oligonucleotide
Obesity 	n-phenyl-5-phenyl-pyrazolin-3-yl amide derivative 1
Fibromyalgia 	asp-0819
Psoriasis vulgaris 	km-133
Endometriosis 	tztx-001
Alzheimer disease 	hl-026
Fibrosis 	lf-984
Thrombosis 	gw-813893
Cytomegalovirus retinitis 	fomivirsen sodium
Multiple sclerosis 	ata188
Skin burns 	nitrofurazone
Dermatological disease 	anti-inflammatory/anti-proliferative agents
Solid tumour/cancer 	m4344
Metastatic endometrial cancer 	sacituzumab govitecan
Metastatic lung cancer 	sacituzumab govitecan
Prostate cancer 	sacituzumab govitecan
Urothelial carcinoma 	sacituzumab govitecan
Solid tumour/cancer 	sacituzumab govitecan
Breast cancer 	sacituzumab govitecan
Crohn disease 	pmid26651364-compound-110
Ulcerative colitis 	pmid26651364-compound-110
Urinary tract infection 	pmid26651364-compound-110
Solid tumour/cancer 	mva p53 vaccine
Muscle spasm 	thiocolchicoside
Obesity 	piperazine derivative 1
Chronic heart failure 	bms-986224
Helicobacter infection 	13c-urea
Breast cancer 	pmid28460551-compound-1
Colon cancer 	pmid28460551-compound-1
Colorectal cancer 	pmid28460551-compound-1
Gastric adenocarcinoma 	pmid28460551-compound-1
Lung cancer 	pmid28460551-compound-1
Pancreatic cancer 	pmid28460551-compound-1
Prostate cancer 	pmid28460551-compound-1
Albinism 	resorcinol compound 26
Menkes disease 	resorcinol compound 26
Senile lentigines 	resorcinol compound 26
Ephelides 	resorcinol compound 26
Melasma 	resorcinol compound 26
Malaria 	pmid30280939-compound-wo2008009652
Metastatic cancer 	thiazole carboxamide derivative 39
Solid tumour/cancer 	thiazole carboxamide derivative 39
Glioblastoma multiforme 	modified adenovirus delta24-rgd
Anxiety disorder 	girisopam
Allergic contact dermatitis 	vx-765
Irritant contact dermatitis 	vx-765
Photocontact dermatitis 	vx-765
Oral mucositis 	ag-013
Solid tumour/cancer 	ml-436
Solid tumour/cancer 	trk-710
Cytomegalovirus infection 	vpm-2-001
Anxiety disorder 	befiperide
Acne vulgaris 	metastat
Diabetic nephropathy 	phn-031
Inflammatory pain 	pmid25666693-compound-102
Neuropathic pain 	pmid25666693-compound-102
Cancer related pain 	pmid25666693-compound-102
Osteoarthritis pain 	pmid25666693-compound-102
Cerebrovascular ischaemia 	sea-0400
Solid tumour/cancer 	bsi-201
Solid tumour/cancer 	ery974
Arthritis 	sk-1306x
Human immunodeficiency virus-1 infection 	mac46/m87o
Alzheimer disease 	mcd-386/glycopyrrolate
Metabolic bone disease 	strontium malonate
Breast cancer 	tgdcc-e1a
Inflammation 	prednisone
Autoimmune diabetes 	krp-107
Allergy 	a-93178
Solid tumour/cancer 	mov18ige
Obesity 	acc2 project
Cervical cancer 	kite-439
Diabetic foot ulcer 	talactoferrin
Acute myeloid leukaemia 	tisagenlecleucel-t
Acute lymphoblastic leukaemia 	tisagenlecleucel-t
Diffuse large B-cell lymphoma 	tisagenlecleucel-t
Overactive bladder 	ae-9c90cb
B-cell lymphoma 	cd22 car-t
Cancer related pain 	pmid25666693-compound-48
Inflammatory pain 	pmid25666693-compound-48
Neuropathic pain 	pmid25666693-compound-48
Osteoarthritis pain 	pmid25666693-compound-48
Schizophrenia 	nemonapride
Intrahepatic cholangiocarcinoma 	muc-1 cart cell immunotherapy
Anemia 	ly2928057
Lateral sclerosis 	liatermin
Respiratory depression 	naloxone sublingual spray
Solid tumour/cancer 	pmid25684022-compound-wo2011137219 38(5-7)
Metastatic cancer 	pmid25684022-compound-wo2011137219 38(5-7)
Glioma 	tafinlar + mekinist
Varicella zoster virus infection 	proquad
Cancer related pain 	pmid25666693-compound-9
Inflammatory pain 	pmid25666693-compound-9
Neuropathic pain 	pmid25666693-compound-9
Osteoarthritis pain 	pmid25666693-compound-9
Depression 	osanetant
Solid tumour/cancer 	pat-sm4
Immunodeficiency 	hyqvia
Advanced solid tumour 	gsk1070916
Cervical cancer 	cigb-300
Coeliac disease 	nexvax2
Type-1 diabetes 	nexvax2
Acute myeloid leukaemia 	muc1-specific gene-engineered t cells
Hepatocellular carcinoma 	anti-gpc3 car t
Solid tumour/cancer 	s-1286
Ovarian cancer 	cabozantinib
Thyroid cancer 	cabozantinib
Cockayne syndrome 	prodarsan
Overactive bladder 	af-219
Cancer related pain 	pmid25666693-compound-27
Inflammatory pain 	pmid25666693-compound-27
Neuropathic pain 	pmid25666693-compound-27
Osteoarthritis pain 	pmid25666693-compound-27
Metastatic cancer 	benzonaphthyridine derivative 2
Solid tumour/cancer 	benzonaphthyridine derivative 2
Retinopathy 	indus-815c
Parkinson disease 	tc-34
Solid tumour/cancer 	anti-cea designer t cell therapy
Semliki forest virus infection 	zika virus vaccine
Rheumatoid arthritis 	dexamethasone
Pain 	carprofen
Neuropathic pain 	pmid25666693-compound-94
Cancer related pain 	pmid25666693-compound-94
Inflammatory pain 	pmid25666693-compound-94
Osteoarthritis pain 	pmid25666693-compound-94
Type-2 diabetes 	sitagliptin + metformin
Mycobacterium infection 	q-201
Cancer related pain 	pmid25666693-compound-52
Neuropathic pain 	pmid25666693-compound-52
Osteoarthritis pain 	pmid25666693-compound-52
Inflammatory pain 	pmid25666693-compound-52
Dyskinesia 	pmid30124346-compound-39table5
Parkinson disease 	pmid30124346-compound-39table5
Constipation 	polyethylene glycol
Brain cancer 	wp-1066
Recurrent glioblastoma 	wp-1066
Solid tumour/cancer 	wp-1066
Gastric adenocarcinoma 	intravenous carbamazepine
Epilepsy 	intravenous carbamazepine
Rosacea 	idp-115
Colon cancer 	131i-cou-1
Schizophrenia 	azd-8418
Pain 	men-10207
Atrial fibrillation 	f-16915
Ovarian cancer 	gale-301 + gale-302
Solid tumour/cancer 	pd-l1 mab + ly
Streptococcus infection 	liponeu
Prostate cancer 	mdx-1147
Hypotension 	pentolinium
Tourette syndrome 	nbi-98854
Movement disorder 	nbi-98854
Solid tumour/cancer 	ag-024322
Atopic dermatitis 	cortisone
Angina pectoris 	fr-76830
Solid tumour/cancer 	niz985
Various major chronic disease 	q-derp1
Bacterial infection 	viquidacin
Psoriasis vulgaris 	hairpin rna
Solid tumour/cancer 	af-11
Immune System disease 	bivigam
Solid tumour/cancer 	ly309887
Pain 	sd-726
Alzheimer disease 	bpn14770
Solid tumour/cancer 	polymer-tubulysin a prodrug conjugate
Melasma 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 11
Menkes disease 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 11
Senile lentigines 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 11
Albinism 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 11
Ephelides 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 11
Dyspepsia 	ng-049
Pheumatoid arthritis 	tak-079
Venous thromboembolism 	betrixaban
Cerebrovascular ischaemia 	betrixaban
Endometrial cancer 	virexxa
Articular cartilage disorder 	maci
leukaemia 	maci
Anemia 	p-1116
Renal cell carcinoma 	rocapuldencel-t
Hypertension 	mk-8150
Neuropathic pain 	vby- 285
Stomach ulcer 	frg-8701
Solid tumour/cancer 	cc-11006
Wound healing 	fibrinolysin
Rheumatoid arthritis 	rhudex
Crohn disease 	pmid26651364-compound-4
Ulcerative colitis 	pmid26651364-compound-4
Urinary tract infection 	pmid26651364-compound-4
Fertility problem 	gonadotropin, chorionic
Diabetic complication 	jtt-608
Wound healing 	choroid plexus cell-derived factors
Pancreatic cancer 	bpx-601
Cardiac arrhythmias 	uk-66914
Henipavirus Encephalitis 	pmid27998201-compound-1
Coronavirus infection 	pmid27998201-compound-1
Schizophrenia 	(-)-3ppp, maryland
Dry age-related macular degeneration 	opregen
Type-2 diabetes 	bi-187004 cl
Human immunodeficiency virus infection 	rp-400c
Psychiatric disorder 	nociceptin/orphanin fq receptor pet ligands
Complex partial seizure 	gabapentin
Solid tumour/cancer 	gabapentin
Pain 	kin-3031
Cornea epithelial defect 	coda-001
Chronic obstructive pulmonary disease 	las 100977
Prostate cancer 	her2- and psa-targeted tgx-d1
Fungal infection 	econail
Ornithine transcarbamylase deficiency 	heterologous liver-derived stem cells
Anxiety disorder 	gsk586529
Depression 	gsk586529
Asthma 	azd-2098
Yersinia infection 	plague injectable vaccine
Inflammatory bowel disease 	gsk-1399686
Malignant glioma 	cp-868596
Acute myelogenous leukaemia 	cp-868596
Acute myeloid leukaemia 	cp-868596
Gastrointestinal cancer 	cp-868596
Gastrointestinal stromal tumour 	cp-868596
Glioma 	pf-06840003
Solid tumour/cancer 	hg-1338
Norovirus infection 	norovirus vaccine
Huntington disease 	sirna therapy, huntington's disease
Diabetic complication 	pd-4048
Rheumatoid arthritis 	bms-945429
Worm infection 	mebendazole
Contraception 	mestranol
Melanoma 	trx-518
Solid tumour/cancer 	trx-518
Irritable bowel syndrome 	pinaverium bromide
Fallopian tube cancer 	prolanta
Ovarian cancer 	prolanta
Peritoneal cavity cancer 	prolanta
Arthritis 	orthokine
Deep vein thrombosis 	cy-1748
Influenza virus infection 	h5n1 pandemic influenza mab
Arteriosclerosis 	tgf-beta elevating agent
Escherichia coli infection 	etec vaccine
Vibrio cholerae infection 	etec vaccine
Radioactive tracer 	technetium tc-99m sestamibi kit
Mucopolysaccharidosis 	elosulfase alfa
Parkinson disease 	entacapone
Immune System disease 	sphingosine-1-phosphate receptor-1 agonist
Solid tumour/cancer 	als-769
Type-2 diabetes 	isis 113715
Social anxiety disorder 	ph94b ns
Stroke 	stroke therapeutic
Rheumatoid arthritis 	bio-300
Solid tumour/cancer 	bio-300
Solid tumour/cancer 	bi 891065
Solid tumour/cancer 	sr-3850
Albinism 	cyclohexyl carbamate derivative 1
Ephelides 	cyclohexyl carbamate derivative 1
Menkes disease 	cyclohexyl carbamate derivative 1
Senile lentigines 	cyclohexyl carbamate derivative 1
Melasma 	cyclohexyl carbamate derivative 1
Cardiovascular disease 	cardiovascular disease medicine
